HYMN TITLE,Hymn
THERE STANDS A ROCK ON SHORES OF TIME,122
MIGHTY ROCK WHOSE TOW'RING FORM,123
WHEN THE STORMS OF liFE ARE RAGING,124
O SAFE TO THE ROCK THAT IS HIGHER THAN I,125
O SOMETIMES THE SHADOWS ARE DEEP,126
A WONDERFUL SAVIOR IS JESUS MY LORD,127
ONCE I WAS STRAYING IN SIN'S DARK VALLEY,128
WONDERFUL JESUS! GLORIOUS FRIEND!,129
I MET HIM ONE DAY ON A LONELY ROAD,130
JESUS ROSE OF SHARON BLOOM WITHIN MY HEART,131
JESUS AND SHALL IT EVER BE,132
JESUS MEEK AND GENTLE,133
O FOR A THOUSAND TONGUES TO SING,134
SO TENDER SO PRECIOUS MY SAVIOR TO ME,135
ALAS AND DID MY SAVIOR BLEED?,136
THE NAME OF JESUS IS SO SWEET,137
MORE liKE THE MASTER I WOULD EVER BE,138
I NEED JESUS MY NEED I NOW CONFESS,139
JUST WHEN I NEED HIM JESUS IS NEAR,140
I WOULD LOVE TO TELL YOU WHAT I THINK OF JESUS,141
THE WORLD ALL ABOUT ME HAS NOW NO ALLURE,142
I WILL TELL THE LOVE OF JESUS,143
NEARER STILL NEARER CLOSE TO THY HEART,144
GONE IS ALL MY DEBT OF SIN,145
O liSTEN TO OUR WONDROUS STORY,146
AS I TRAVEL THRU THIS PILGRIM LAND,147
I HOLD TO THE HAND OF MY SAVIOR AND FRIEND,148
ONCE FROM MY POOR SIN SICK SOUL,149
MEN STRIVE FOR THE WEALTH OF THIS WIDE WICKED WORLD,150
SUN OF MY SOUL THOU SAVIOR DEAR,151
OUR SAVIOR ONCE WANDERED ON EARTH AS A MAN,152
NOBODY KNOWS BUT JESUS,153
I SERVE A RISEN SAVIOR HE'S IN THE WORLD TODAY,154
LOW IN THE GRAVE HE LAY,155
I AM SO HAPPY IN CHRIST TODAY,156
THERE'S WITHIN MY HEART A MELODY,157
IN LOVING KINDNESS JESUS CAME,158
I WAS LOST IN SIN BUT JESUS RESCUED ME,159
THERE IS A FOUNTAIN FILLED WITH BLOOD,160
I AM THE VINE AND YE ARE THE BRANCHES,161
MY SAVIOR DEAR I LOVE THEE O I LOVE THEE,162
THERE IS A PLACE OF QUIET REST,163
O MASTER LET ME WALK WITH THEE,164
SAVIOR liKE A SHEPHERD LEAD US,165
JESUS IS OUR LOVING SHEPHERD,166
JESUS THE LOVING SHEPHERD,167
SAVIOR LEAD ME LEST I STRAY,168
liKE A SHEPHERD TENDER TRUE JESUS LEADS,169
ALL THE WAY MY SAVIOR LEADS ME,170
SEE! THE MONARCH OF MONARCHS,171
O THE PRECIOUS LOVE OF JESUS,172
ALL DAY LONG OF JESUS I AM SINGING,173
IN SORROW I WANDERED MY SPIRIT OPPREST,174
I AM A STRANGER HERE WITHIN A FOREIGN LAND,175
STANDING ON THE PROMISES OF CHRIST MY KING,176
I AM WEAK BUT THOU ART STRONG,177
O FOR A CLOSER WALK WITH GOD,178
WHEN I SURVEY THE WONDROUS CROSS,179
liKE A LAMP UNTO YOUR FEET,180
WALK IN THE liGHT! SO SHALT THOU KNOW,181
TRYING TO WALK IN THE STEPS OF THE SAVIOR,182
ARE YOU WALKING IN HIS FOOTSTEPS,183
JESUS SAVIOR PILOT ME,184
WHO WILL FOLLOW JESUS,185
DOWN IN THE VALLEY WITH MY SAVIOR I WOULD GO,186
I'VE HEARD MY SAVIOR CALliNG,187
SWEET ARE THE PROMISES,188
I'VE HEARD OF A LAND OF JOY AND PEACE AND WONDERFUL liGHT,189
WHAT A FELLOWSHIP WHAT A JOY DIVINE,190
IT MAY BE ON THE MOUNTAIN'S HEIGHT,191
ANYWHERE WITH JESUS I CAN SAFELY GO,192
IT MAY BE IN THE VALLEY WHERE COUNTLESS DANGERS HIDE,193
COME FROM THE LOATHSOME WAY OF SIN,194
SWEETLY LORD HAVE WE HEARD THEE CALliNG,195
DOWN AT THE CROSS WHERE MY SAVIOR DIED,196
WHAT CAN WASH AWAY MY SIN?,197
WOULD YOU BE FREE FROM THE BURDEN OF SIN?,198
WOULD YOU liVE FOR JESUS AND BE ALWAYS PURE AND GOOD,199
CHRIST OUR REDEEMER DIED ON THE CROSS,200
IN THY FIELD I WOULD WIELD SICKLES BRAVE AND TRUE,201
EARTHLY WEALTH AND FAME,202
I'VE FOUND A FRIEND O SUCH A FRIEND,203
JESUS IS ALL THE WORLD TO ME,204
THIS liFE IS FILLED WITH SORROW AND TROUBLES HERE BELOW,205
O SAVIOR MINE SO FULL SO FREE,206
I HAVE FOUND A FRIEND IN JESUS HE'S EV'RYTHING TO ME,207
THEY TRIED MY LORD AND MASTER,208
I LOVE THY KINGDOM LORD,209
ONE STEP AT A TIME DEAR SAVIOR,210
BE STRONG IN THE FAITH MY BROTHER,211
GOD'S FAMILY IS HIS CHURCH DIVINE,212
THE CHURCH'S ONE FOUNDATION,213
HOW FIRM A FOUNDATION YE SAINTS OF THE LORD,214
A CHARGE TO KEEP I HAVE,215
A MIGHTY FORTRESS IS OUR GOD,216
HOW BLEST AND HOW JOYOUS WILL BE THE GLAD DAY,217
THE KINGDOMS OF EARTH PASS AWAY ONE BY ONE,218
THERE'S A ROYAL BANNER GIVEN FOR DISPLAY,219
ONWARD CHRISTIAN SOLDIERS,220
THE FIGHT IS ON THE TRUMPET SOUND IS RINGING OUT,221
FAITH OF OUR FATHERS! liVING STILL,222
SOUND THE BATTLE CRY!,223
AM I A SOLDIER OF THE CROSS?,224
SOLDIERS OF CHRIST ARISE,225
STAND FAST IN FAITH OF CHRIST,226
STAND UP STAND UP FOR JESUS,227
PRESSING THE BATTLE IN JESUS' NAME,228
I HEARD AN OLD OLD STORY,229
LET THE BEAUTY OF JESUS BE SEEN IN ME,230
ENCAMPED ALONG THE HILLS OF liGHT,231
I WANT TO liVE DEAR LORD FOR THEE,232
I AM SO GLAD SALVATION'S FREE TO ALL WHO WILL RECEIVE IT,233
HO MY COMRADES! SEE THE SIGNAL,234
IF THE WORLD FROM YOU WITHHOLD OF ITS SILVER AND ITS GOLD,235
SOUL ARE YOU WEARY OF liFE'S HEAVY LOAD?,236
IS THERE HEAVY WEIGHT OF CARE,237
GO TO JESUS FOR REST WHEN YOUR SOUL IS DISTRESSED,238
PEACE PERFECT PEACE IN THIS DARK WORLD OF SIN?,239
ARE YOU WEARY ARE YOU HEAVY HEARTED?,240
I MUST TELL JESUS ALL OF MY TRIALS,241
DYING WITH JESUS BY DEATH RECKONED MINE,242
I COUNT IT ALL JOY TO SUFFER FOR HIM,243
WHEN I NEED SOMEONE IN TIME OF GRIEF,244
ONLY IN THEE O SAVIOR MINE,245
I WILL SING OF MY REDEEMER,246
I KNOW THAT MY REDEEMER liVES,247
I KNOW THAT MY REDEEMER liVES,248
I KNOW THAT MY REDEEMER liVETH,249
HOW I LOVE THE GREAT REDEEMER,250
SWEET IS THE PROMISE I WILL NOT FORGET THEE,251
REDEEMED HOW I LOVE TO PROCLAIM IT,252
SWEET IS THE SONG I AM SINGING TODAY,253
MID THE TOIL AND STRIFE OF THIS BUSY liFE,254
O TO BE liKE THEE! BLESSED REDEEMER,255
COME LET US ALL UNITE TO SING,256
AMAZING GRACE HOW SWEET THE SOUND,257
JESUS LOVER OF MY SOUL,258
JESUS LOVER OF MY SOUL,259
LOVE DIVINE ALL LOVE EXCELliNG,260
I WAS SINKING DEEP IN SIN,261
JESUS MY HEAV'NLY KING LOVES ME I KNOW,262
JESUS CAME TO GIVE ME liFE SET ME FREE FROM SIN AND STRIFE,263
THO DARK AND DREARY BE liFE'S WAY,264
O LOVE THAT WILT NOT LET ME GO,265
SINCE THE LOVE OF GOD HAS SHED PRICELESS BLESSINGS ON MY HEAD,266
THE LOVE OF GOD IS GREATER FAR,267
INTO THE HEART OF JESUS DEEPER AND DEEPER I GO,268
IT WAS MATCHLESS LOVE THAT FOUND ME,269
SAVIOR TEACH ME DAY BY DAY,270
IN VAIN IN HIGH AND HOLY LAYS,271
HOW SWEET THE NAME OF JESUS SOUNDS,272
THERE IS A NAME I LOVE TO HEAR,273
I AM SO GLAD THAT OUR FATHER IN HEAV'N,274
JESUS LOVES ME! THIS I KNOW,274A
WHAT DO I OWE UNTO MY LORD,275
WONDERFUL STORY OF LOVE,276
I LOVE TO TELL THE STORY,277
TELL ME THE STORY OF JESUS,278
TELL ME THE OLD OLD STORY,279
ONCE MORE I MUST TELL THE OLD STORY TO YOU,280
PRECIOUS FOREVER! O WONDERFUL WORDS,281
THERE'S A MESSAGE TRUE AND GLAD,282
SAVIOR BREATHE AN EVENING BLESSING,283
THERE'S A STORY THAT IS OLD,284
LET ME HEAR THE VOICE OF JESUS,285
TIS MIDNIGHT AND ON OliVE'S BROW,286
WHEN WE MEET IN SWEET COMMUNION,287
THAT DREADFUL NIGHT BEFORE HIS DEATH,288
DEAR LORD WE BREAK THE BREAD,289
TIS SWEET TO REMEMBER THE LOVE OF MY LORD,290
SAVIOR THY DYING LOVE,291
TILL HE COME: O LET THE WORDS,292
NIGHT WITH EBON PINION,293
BY CHRIST REDEEMED IN CHRIST RESTORED,294
ON THIS LORD'S DAY WE ASSEMBLE,295
IN REMEMBRANCE OF ME EAT THE UNLEAVENED BREAD,296
WHEN MY LOVE TO CHRIST GROWS WEAK,297
JESUS CALLS US O'ER THE TUMULT,298
KING OF MY liFE I CROWN THEE NOW,299
MUST JESUS BEAR THE CROSS ALONE,300
WHY DID MY SAVIOR COME TO EARTH,301
O THE DEPTH AND THE RICHES OF GOD'S SAVING GRACE,302
I STAND AMAZED IN THE PRESENCE,303
LOVE SENT MY SAVIOR TO DIE IN MY STEAD,304
CHRIST JESUS MY LORD FROM HEAVEN CAME,305
ONE DAY WHEN HEAVEN WAS FILLED WITH HIS PRAISES,306
ALONE CHRIST STOOD IN PILATE'S HALL,307
ON CALVARY'S BROW MY SAVIOR DIED,308
ON THE CROSS OF CALVARY,309
ON A HILLSIDE SO LONELY,310
O WHAT WONDROUS LOVE I SEE,311
IN THE GARDEN SORE OPPRESSED,312
WE SAW THEE NOT WHEN THOU DIDST COME,313
LOOKING BACK THRU THE YEARS I CAN SEE MY DEAR LORD,314
ON THE CROSS OF CALVARY OUR BLESSED SAVIOR DIED,315
THERE WAS ONE WHO WAS WILliNG TO DIE IN MY STEAD,316
THE HAND THAT WAS NAILED TO THE CROSS OF WOE,317
NEARER THE CROSS MY HEART CAN SAY,318
IN THE CROSS OF CHRIST I GLORY,319
AS WE JOURNEY ON T'WARD HEAVEN'S SHINING GOAL,320
ALAS AND DID MY SAVIOR BLEED,321
ON A HILL FAR AWAY STOOD AN OLD RUGGED CROSS,322
FROM THE CROSS OF CHRIST UPliFTED,323
THE CROSS THAT HE GAVE MAY BE HEAVY,324
THERE'S A CROWN FOR YOUR CROSS WHEN THE TEARDROPS THAT STRAY,325
LOOK AWAY FROM THE CROSS TO THE GliTTERING CROWN,326
TRUE HEARTED WHOLE HEARTED FAITHFUL AND LOYAL,327
BENEATH THE CROSS OF JESUS,328
I'M SEEKING THE COUNTRY WHERE JESUS HAS GONE,329
THO MY CROSS MAY BE HARD TO BEAR,330
O MY PRECIOUS LOVING SAVIOR,331
TO CHRIST BE LOYAL AND BE TRUE,332
MY FATHER IS RICH IN HOUSES AND LANDS,333
ZION'S CALL SWEETLY RINGS OVER LAND AND SEA,334
IT MAY BE AT MORN WHEN THE DAY IS AWAKING,335
THERE'S A GREAT DAY COMING A GREAT DAY COMING,336
AT THE SOUNDING OF THE TRUMPET WHEN THE SAINTS ARE GATHERED HOME,337
I KNOW NOT WHY GOD'S WONDROUS GRACE,338
O TROUBLED HEART THERE IS A HOME,339
WE WAIT THE COMING OF THE LORD,340
WHEN THE WAITING TIME IS OVER,341
O HOW SWEET 'TWILL BE TO MEET THE LORD,342
IT WON'T BE VERY LONG TILL THIS SHORT liFE SHALL END,343
THIS liFE WILL END SOME FUTURE DAY,344
WHEN THE TRUMPET OF THE LORD SHALL SOUND AND TIME SHALL BE NO MORE,345
TIME IS FILLED WITH SWIFT TRANSITION,346
THERE WILL COME A GLAD DAY IN THE SWEET BY AND BY,347
ONWARD REJOICING I TREAD liFE'S WAY,348
WHEN MY WORK ON EARTH IS ENDED,349
MY LATEST SUN IS SINKING FAST,350
TIS A SWEET AND GLOR'OUS THO'T THAT COMES TO ME,351
WHEN THE SAVIOR CALLS I WILL ANSWER,352
WHEN THE TRUMPET SHALL SOUND,353
WHEN DAYS OF TOIL HAVE ALL GONE BY,354
EARTH HOLDS NO TREASURES BUT PERISH WITH USING,355
WHEN WITH THE SAVIOR WE ENTER THE GLORY LAND,356
WE READ OF A PLACE THAT'S CALLED HEAVEN,357
SING THE WONDROUS LOVE OF JESUS,358
O THINK OF THE HOME OVER THERE,359
THERE IS A HOME ETERNAL,360
THIS WORLD IS NOT MY HOME I'M JUST A PASSING THRU,361
SOON THE TOILS OF liFE WILL CEASE,362
I HAVE HEARD OF THE JOY OF THE SOUL'S SWEET HOME,363
BEAUTIFUL ZION BUILT ABOVE,364
IF FOR THE PRIZE WE HAVE STRIVEN,365
IS IT FOR ME DEAR SAVIOR,366
I WILL SING YOU A SONG OF THAT BEAUTIFUL LAND,367
WHEN THE SHADES OF NIGHT ARE FALliNG,368
HOW SWEET WILL BE THE WELCOME HOME,369
UP TO THE BEAUTIFUL GIVER OF liFE,370
WHAT A SONG OF DEliGHT IN THAT CITY SO BRIGHT,371
MY BROTHER AWAKE AND SING THE SWEET STORY,372
THERE'S A BEAUTIFUL HOME BEYOND THE DARK RIVER,373
I'VE HEARD OF A BEAUTIFUL CITY ABOVE,374
OFTEN I'VE HEARD OF HEAVEN WONDERFUL COUNTRY SOMEWHERE,375
SOMEWHERE THE SUN IS SHINING,376
BEAUTIFUL ROBES SO WHITE,377
SIMPLY TRUSTING EV'RY DAY,378
FACE TO FACE WITH CHRIST MY SAVIOR,379
OVER THE RIVER SHINING FOREVER,380
THERE'S A WONDERFUL PLACE WE CALL HOME,381
THERE'S A HOLY AND BEAUTIFUL CITY,382
LORD I HAVE STARTED TO WALK IN THE liGHT,383
I HAVE HEARD OF A LAND ON THE FAR AWAY STRAND,384
I HAVE HEARD OF A LAND,385
WHEN MY SOUL IS SINGING IN THAT PROMISED LAND ABOVE,386
BEYOND THIS LAND OF PARTING LOSING AND LEAVING,387
I AM LONGING FOR THE COMING OF THE SNOW WHITE ANGEL BAND,388
I AM GOING TO A CITY,389
SOMETIME THE SHADOWS WILL BE GONE,390
THERE'S A GARDEN OF EDEN IN GLORY,391
HERE I LABOR AND TOIL AS I LOOK FOR A HOME,392
I'M SATISFIED WITH JUST A COTTAGE BELOW,393
THERE'S A BEAUTIFUL PLACE CALLED HEAVEN,394
I'LL REACH THE LAND OF CORN AND WINE,395
I WILL LEAVE THIS LAND OF BONDAGE WITH ITS EARTHLY TREASURES,396
PRECIOUS MEM'RIES UNSEEN ANGELS,397
THERE'S A HAPPY LAND OF PROMISE OVER IN THE GREAT BEYOND,398
THERE'S A LAND THAT IS FAIRER THAN DAY,399
AS DAY BY DAY I JOURNEY,400
HERE WE ARE BUT STRAYING PILGRIMS,401
WHEN WE REACH THAT HOME AND LAY OUR BURDENS DOWN,402
NO TEARS IN HEAVEN NO SORROWS GIVEN,403
THERE'LL BE NO DARK SHADOWS IN HEAVEN,404
THERE'S NO DISAPPOINTMENT IN HEAVEN,405
SAVIOR GRANT ME REST AND PEACE,406
IN THE LAND OF FADELESS DAY,407
O THEY TELL ME OF A HOME FAR BEYOND THE SKIES,408
WHEN MY EARTHLY DAY IS WANING,409
THE NIGHT IS FAST PASSING,410
THE SANDS HAVE BEEN WASHED IN THE FOOTPRINTS,411
THERE ARE liGHTS BY THE SHORE OF THAT COUNTRY,412
AFTER THE liFE PATHS WE'RE TREADING,413
SHALL WE GATHER AT THE RIVER,414
SHALL WE MEET BEYOND THE RIVER,415
JUST OVER THE RIVER JUST OVER THE RIVER,416
FROM EV'RY STORMY WIND THAT BLOWS,417
SOON THIS liFE WILL ALL BE OVER,418
SAVED ONES IN GLORY ARE WAITING FOR ME,419
INSIDE THE GATES OF HOME SWEET HOME,420
JUST A FEW MORE DAYS TO BE FILLED WITH PRAISE,421
WHEN THE TOILS OF EARTH ARE O'ER,422
DARKNESS IS FALliNG THE NIGHT DRAWETH NIGH,423
BEYOND THE SUNSET'S RADIANT GLOW,424
BEYOND THE SUNSET O BliSSFUL MORNING,425
GOD'S TOMORROW IS A DAY OF GLADNESS,426
WHEN COMES TO THE WEARY A BLESSED RELEASE,427
