HYMN TITLE,Hymn
ARISE THE MASTER CALLS FOR THEE,511
CHRIST HAS NO HANDS BUT OUR HANDS,512
WHEN THE HARVEST IS PAST AND THE SUMMER IS O'ER,513
FAIREST LORD JESUS,514
IN THE HARVEST FIELD WE ARE TOIliNG TODAY,515
I BRING MY SINS TO THEE,516
WHY STAND YE IDLE ALL DAY LONG?,517
IT IS ENOUGH WITH HIS WORD TO COMPLY,518
O WILL YOU NOW FROM SIGHING CEASE,519
I'M NOT ASHAMED TO OWN THAT JESUS CAME AND DIED ON CALVARY,520
I'M NOT ASHAMED TO OWN MY LORD,521
WE HAVE HEARD THE JOYFUL SOUND,522
OUT ON THE PERILOUS DEEP,523
YOU ARE DRIFTING FAR FROM SHORE LEANING ON AN IDLE OAR,524
TOO LATE T'WILL BE FOR YOU TO CRY,525
SOUL YOU ARE DRIFTING ALONG ON THE TIDE,526
BRIGHTLY BEAMS OUR FATHER'S MERCY,527
SEEKING THE LOST YES KINDLY ENTREATING,528
HARK! 'TIS THE SHEPHERD'S VOICE I HEAR,529
JESUS MY SAVIOR TO BETHLEHEM CAME,530
NOTHING BETWEEN MY SOUL AND THE SAVIOR,531
MASTER THE TEMPEST IS RAGING!,532
THERE IS A GATE THAT STANDS AJAR,533
THERE'S liGHT IN THE VALLEY OF SHADOWS,534
SOFT AS THE VOICE OF AN ANGEL,535
IN THE HOUR OF TRIAL,536
THE WHOLE WORLD WAS LOST IN THE DARKNESS OF SIN,537
THERE NEVER WAS ONE liKE THE SAVIOR OF MEN,538
WHY WILL YOU IN BONDAGE STAY?,539
THERE IS A WAY THE GOSPEL WAY,540
WOULD YOU BE FREED FROM YOUR BURDEN OF SIN,541
THERE IS ONLY ONE WAY TO THE KINGDOM OF GOD,542
TRAV'liNG DOWN liFE'S PILGRIM WAY,543
BLESSED BE THE FOUNTAIN OF BLOOD,544
O THOU FOUNT OF EV'RY BLESSING,545
I MUST NEEDS GO HOME BY THE WAY OF THE CROSS,546
A RULER ONCE CAME TO JESUS BY NIGHT,547
LAY HOLD ON THE HOPE SET BEFORE YOU,548
MY STUBBORN WILL AT LAST HATH YIELDED,549
FEAR NOT liTTLE FLOCK SAYS THE SAVIOR DIVINE,550
WHATE'ER YOU DO IN WORD OR DEED,551
FREE FROM THE LAW O HAPPY CONDITION,552
CHRIST WILL ME HIS AID AFFORD,553
ARE YOU DWELliNG IN THE SUNliGHT?,554
OF ONE THE LORD HAS MADE THE RACE,555
AS THE liFE OF A FLOW'R,556
SOME DAY YOU'LL STAND AT THE BAR ON HIGH,557
WE NEVER KNOW AT THE DAWN OF DAY,558
TIS SO SWEET TO TRUST IN JESUS,559
THERE WERE NINETY AND NINE THAT SAFELY LAY,560
WHEN PEACE liKE A RIVER ATTENDETH MY WAY,561
WHEN THE SUN OF YOUR liFE HAS GONE DOWN,562
THERE'S A CALL COMES RINGING O'ER THE RESTLESS WAVE,563
ALL ALONG ON THE ROAD TO THE SOUL'S TRUE ABODE,564
BROTHER AFAR FROM THE SAVIOR TODAY,565
ARE YOU TRUSTING JESUS ALL ALONG THE WAY?,566
LORD I CARE NOT FOR RICHES NEITHER SILVER NOR GOLD,567
I WAS ONCE A SINNER BUT I CAME,568
WHEN I SHALL REACH THE MORE EXCELLENT GLORY,569
THERE IS JOY IN HEAV'N AMONG THE ANGELS,570
SOWING IN THE MORNING SOWING SEEDS OF KINDNESS,571
CHRIST FOR THE WORLD! WE SING,572
GLORY HALLELUJAH I SHALL NOT BE MOVED,573
YEARS I SPENT IN VANITY AND PRIDE,574
THERE'S SUNSHINE IN MY SOUL TODAY,575
I WANDERED IN THE SHADES OF NIGHT,576
WALKING IN SUNliGHT ALL OF MY JOURNEY,577
THIS IS MY FATHER'S WORLD,578
GIVE ME THY HEART SAYS THE FATHER ABOVE,579
O HEART BOWED DOWN WITH SORROW,580
IF THE DARK SHADOWS GATHER,581
SOME GOLDEN DAY THE HEART SHALL REAP,582
YOU WILL HAVE A HELPER NEAR AND NO FOE WILL GIVE YOU FEAR,583
I HAVE A SONG THAT JESUS GAVE ME,584
SINCE I GAVE MY HEART TO JESUS liFE IS MEANING MORE TO ME,585
THERE'S A SACRED AND HALLOWED RETREAT,586
YOU MAY HAVE THE JOYBELLS RINGING IN YOUR HEART,587
O LORD I COME TO THEE,588
IN THE DESERT OF SORROW AND SIN,589
BURIED WITH CHRIST MY BLESSED REDEEMER,590
BURIED WITH CHRIST AND RAISED WITH HIM TOO,591
O HAPPY DAY THAT FIXED MY CHOICE,592
THERE'S A FOUNTAIN FREE 'TIS FOR YOU AND ME,593
WILL YOU COME WILL YOU COME,594
BLESSED ARE THEY WHO DO HIS COMMANDMENTS,595
GOD IS CALliNG THE PRODIGAL COME WITHOUT DELAY,596
GOD CALliNG YET! SHALL I NOT HEAR?,597
I'VE WANDERED FAR AWAY FROM GOD,598
COME TO JESUS! HE WILL SAVE YOU,599
JESUS IS TENDERLY CALliNG THEE HOME,600
JESUS IS CALliNG CALliNG CALliNG,601
WHOSOEVER HEARETH SHOUT SHOUT THE SOUND,602
OUT OF MY BONDAGE SORROW AND NIGHT,603
I HEAR THY WELCOME VOICE,604
JUST AS I AM WITHOUT ONE PLEA,605
I HEAR THE SAVIOR SAY,606
ALL THINGS ARE READY COME TO THE FEAST,607
SOON THE EV'NING SHADOWS FALliNG,608
O THERE IS A TIME WHEN THE MESSAGE WILL COME,609
SHALL I CRUCIFY MY SAVIOR,610
THO YOUR SINS BE AS SCARLET,611
LORD JESUS I LONG TO BE PERFECTLY WHOLE,612
HAVE YOU BEEN TO JESUS FOR THE CLEANSING POW'R?,613
WHO AT MY DOOR IS STANDING,614
THE GREAT PHYSICIAN NOW IS NEAR,615
THERE'S A STRANGER AT THE DOOR,616
THE SAVIOR HAS KNOCKED AT YOUR HEART'S DOOR IN VAIN,617
IF YOU ARE TIRED OF THE LOAD OF YOUR SIN,618
WHAT A WONDERFUL CHANGE IN MY liFE HAS BEEN WRO'T,619
COME EV'RY SOUL BY SIN OPPRESSED,620
HAVE YOU ANY ROOM FOR JESUS,621
SOUL A SAVIOR THOU ART NEEDING!,622
WHY DO YOU WAIT DEAR SINNER?,623
WHY KEEP JESUS WAITING,624
WHILE WE PRAY AND WHILE WE PLEAD,625
O WHAT WILL YOU DO WITH JESUS?,626
IF YOU COULD SEE CHRIST STANDING HERE TONIGHT,627
THE VOICE OF THE SAVIOR SAYS COME,628
O DO NOT LET THE WORD DEPART,629
ARE YOU COMING HOME YE WAND'RERS,630
I HEARD THE VOICE OF JESUS SAY,631
O SOUL OF MINE BE NOT ALARMED,632
CARELESS SOUL WHY WILL YOU liNGER,633
WHERE WILL YOU SPEND ETERNITY,634
I AM COMING TO THE CROSS,635
HEAR THE SWEET VOICE OF JESUS SAY,636
WHEN JESUS COMES TO REWARD HIS SERVANTS,637
O WAND'RER HEAR THE SAVIOR'S CALL,638
I CAN HEAR MY SAVIOR CALliNG,639
SOFTLY AND TENDERLY JESUS IS CALliNG,640
WHILE THRU HIS WORD HE CALLS YOU,641
I AM RESOLVED NO LONGER TO liNGER,642
SINNERS JESUS WILL RECEIVE,643
WHEN WE WALK WITH THE LORD,644
I'M JUST A WEARY PILGRIM,645
I ONCE WAS LOST IN SIN BUT JESUS TOOK ME IN,646
ALMOST PERSUADED NOW TO BEliEVE,647
MY PRECIOUS SAVIOR SUFFERED PAIN AND AGONY,648
I GAVE MY liFE FOR THEE,649
JESUS GAVE HIS liFE A RANSOM YONDER ON CALVARY,650
AS YOU TRAVEL ALONG ON THE JERICHO ROAD,651
HOW SWEET HOW HEAVENLY IS THE SIGHT,652
IF THE SKIES ABOVE YOU ARE GRAY,653
ABIDE WITH ME! FAST FALLS THE EVENTIDE,654
GOD BE WITH YOU TILL WE MEET AGAIN,655
BLEST BE THE TIE THAT BINDS,656
BE NOT DISMAYED WHATE'ER BETIDE,657
FADE FADE EACH EARTHLY JOY,658
NOW THE DAY IS OVER,659
TARRY WITH ME O MY SAVIOR,660
TAKE THE NAME OF JESUS WITH YOU,661
IN THIS WORLD WE HAVE OUR BURDENS,662
GAZING UPWARD INTO HEAVEN,663
ON ZION'S GLORIOUS SUMMIT STOOD,664
SOON WE'LL COME TO THE END OF liFE'S JOURNEY,665
TROUBLESOME TIMES ARE HERE FILliNG MEN'S HEARTS WITH FEAR,666
WHEN WE BEHOLD THE WONDERS OF CREATION,667
THERE IS BEYOND THE AZURE BLUE,668
