HYMN TITLE, Hymn
TEMPTED AND TRIED WE'RE OFT MADE TO WONDER,119
GIVE ME THE BIBLE STAR OF GLADNESS GLEAMING,120
FOR CHRIST AND THE CHURCH LET OUR VOICES RING,121
FATHER OF MERCIES DAY BY DAY,122
PEACE PERFECT PEACE IN THIS DARK WORLD OF SIN,123
CHRIST THE MASTER OF THE OCEAN,124
IN HEAV'NLY LOVE ABIDING,125
GIVE ME THY HEART SAYS THE FATHER ABOVE,126
GOD BE WITH YOU TILL WE MEET AGAIN,127
STAND NO LONGER IDLE HEED THE CALL,128
WHEN I CAN READ MY TITLE CLEAR,129
RAISE WE OUR VOICES THE WHOLE WORLD REJOICES,130
O GOD OUR HELP IN AGES PAST,131
DREAD NOT THE THINGS THAT ARE AHEAD,132
I LOVE THEE I LOVE THEE I LOVE THEE MY LORD,133
GOD IS THE FOUNTAIN WHENCE,134
GOD MOVES IN A MYSTERIOUS WAY,135
WHEN WE REACH THAT HOME AND LAY OUR BURDENS DOWN,136
IN MEM'RY OF THE SAVIOR'S LOVE,137
GLORIOUS THINGS OF THEE ARE SPOKEN,138
GOD OF OUR FATHERS WHOSE ALMIGHTY HAND,139
WITHIN THE HEART OF EV'RY MAN,140
GUIDE ME O THOU GREAT JEHOVAH,141
MY JESUS I LOVE THEE I KNOW THOU ART MINE,142
JESUS IS TENDERLY CALLING THEE HOME,143
GRACE ALL SUFFICIENT JESUS PROVIDES,144
I WILL SING THE WONDROUS STORY,145
MARVELOUS GRACE OF OUR LOVING LORD,146
IN THE RESURRECTION MORNING,147
HALLELUJAH PRAISE JEHOVAH,148
HARK THE GENTLE VOICE OF JESUS FALLETH,149
SWEETLY I TRUST IN MY REDEEMER AS I GO SINGING ON MY WAY,150
JESUS THY NAME I LOVE,151
HARK THE HERALD ANGELS SING,152
IN THE HUSH OF EARLY MORNING,153
JESUS WALKED THE LONELY ROAD TO CALVARY,154
LOOK TO THE MIGHTY ONE FATHER OF ALL,155
ARISE THE MASTER CALLS FOR THEE,156
HE LEADETH ME O BLESSED THOUGHT,157
MY PRECIOUS SAVIOR SUFFERED PAIN AND AGONY,158
I GAVE MY LIFE FOR THEE,159
THE SAVIOR HAS COME IN HIS MIGHTY POW'R,160
AWAKE MY TONGUE THY TRIBUTE BRING,161
